                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7003,                 8.6606,                 4.2353,                  9e-05,                0.03061,                  8e-05,                  5e-05,                 3.2144,                 16.736,                 4.1572,             0.00012495,             0.00012495,             0.00012495
                      2,                 3.4335,                  7.336,                 4.1888,                  9e-05,                0.03061,                0.00044,                0.00011,                 3.2054,                 16.788,                 4.1479,             0.00025312,             0.00025312,             0.00025312
                      3,                 3.7381,                 8.0688,                 4.1673,                  9e-05,                0.03061,                0.01076,                 0.0011,                 3.2502,                 16.303,                 4.1206,             0.00037601,             0.00037601,             0.00037601
                      4,                 3.4717,                 7.1672,                 4.0926,                  9e-05,                0.03061,                 0.0002,                  6e-05,                 3.2329,                 16.034,                 4.0206,             0.00049362,             0.00049362,             0.00049362
                      5,                 3.4575,                 6.9198,                 4.0514,                  9e-05,                0.03061,                0.00014,                  6e-05,                 3.0881,                 14.367,                 3.9214,             0.00060595,             0.00060595,             0.00060595
                      6,                 3.4569,                 7.1939,                 4.0442,                  6e-05,                 0.0102,                  5e-05,                  2e-05,                 2.9663,                 14.318,                 3.9851,             0.00071301,             0.00071301,             0.00071301
                      7,                 3.5765,                 6.5494,                 3.9839,                  9e-05,                0.03061,                0.00014,                  5e-05,                 3.1773,                 13.975,                 4.0108,             0.00073404,             0.00073404,             0.00073404
                      8,                 3.4868,                 6.6379,                  3.957,                 0.0001,                 0.0102,                  6e-05,                  2e-05,                 3.2105,                 12.312,                 3.9729,             0.00071755,             0.00071755,             0.00071755
                      9,                  3.386,                 6.7883,                 3.8242,                0.00012,                 0.0102,                0.00018,                  6e-05,                 3.2018,                 11.732,                  3.981,             0.00070105,             0.00070105,             0.00070105
                     10,                 3.2952,                 6.5795,                 3.8814,                 0.0002,                0.03061,                0.00016,                  8e-05,                 2.9719,                 11.824,                 3.8874,             0.00068456,             0.00068456,             0.00068456
                     11,                 3.5288,                 6.6489,                 3.8305,                0.00011,                 0.0102,                  6e-05,                  1e-05,                 2.9932,                 12.098,                 3.9328,             0.00066807,             0.00066807,             0.00066807
                     12,                 3.3143,                 6.5579,                 3.7038,                  7e-05,                 0.0102,                  4e-05,                  2e-05,                 2.9177,                 11.942,                 3.8919,             0.00065157,             0.00065157,             0.00065157
                     13,                 3.1482,                 6.0144,                 3.5763,                0.00012,                0.03401,                 0.0005,                  8e-05,                 2.9529,                 11.888,                 3.8048,             0.00063508,             0.00063508,             0.00063508
                     14,                 3.2723,                 6.3505,                 3.5854,                0.00057,                0.18163,                0.03716,                0.00769,                 2.7879,                 11.586,                 3.6727,             0.00061859,             0.00061859,             0.00061859
                     15,                 3.2157,                 6.3255,                 3.4563,                0.00211,                0.23061,                0.08223,                0.01586,                 2.8379,                 11.589,                 3.8291,             0.00060209,             0.00060209,             0.00060209
                     16,                 3.1985,                  6.122,                 3.5128,                0.00119,                0.06735,                0.00116,                0.00034,                 3.1523,                  11.42,                 4.1879,              0.0005856,              0.0005856,              0.0005856
                     17,                 3.1249,                 5.8315,                  3.428,                0.81763,                0.12512,                0.12946,                0.04997,                 2.8343,                 10.726,                 3.9202,             0.00056911,             0.00056911,             0.00056911
                     18,                 3.1392,                 5.8253,                 3.4693,                0.68525,                0.09524,                0.11216,                0.04542,                 2.7375,                 9.9676,                 3.6874,             0.00055261,             0.00055261,             0.00055261
                     19,                 2.9749,                 5.8423,                  3.295,                0.63084,                0.11905,                0.09415,                0.02939,                 2.7506,                 10.229,                 3.7754,             0.00053612,             0.00053612,             0.00053612
                     20,                 3.0373,                 5.3775,                 3.3261,                0.00256,                0.15306,                0.02646,                0.00463,                 2.8593,                  10.75,                 3.7959,             0.00051963,             0.00051963,             0.00051963
                     21,                 3.0042,                 5.3315,                 3.4072,                0.45168,                0.02381,                0.01456,                0.00329,                 2.9067,                 10.382,                 3.7277,             0.00050313,             0.00050313,             0.00050313
