                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7003,                 8.6606,                 4.2353,                  9e-05,                0.03061,                  8e-05,                  5e-05,                 3.2144,                 16.736,                 4.1572,             0.00012495,             0.00012495,             0.00012495
                      2,                 3.4346,                 7.3456,                  4.188,                  9e-05,                0.03061,                0.00027,                  8e-05,                 3.2053,                 16.789,                 4.1477,              0.0002561,              0.0002561,              0.0002561
                      3,                 3.7303,                 7.9928,                 4.1513,                  9e-05,                0.03061,                0.00061,                  9e-05,                 3.2539,                 16.351,                 4.1198,             0.00038505,             0.00038505,             0.00038505
                      4,                 3.4887,                 7.1605,                 4.1274,                  9e-05,                0.03061,                0.00058,                  8e-05,                 3.2531,                 16.028,                 4.0363,              0.0005118,              0.0005118,              0.0005118
                      5,                 3.5138,                 6.9113,                 4.0645,                  9e-05,                0.03061,                 0.0001,                  4e-05,                 3.0328,                 14.315,                 3.9434,             0.00063635,             0.00063635,             0.00063635
                      6,                 3.4233,                 7.1441,                 4.0161,                  8e-05,                 0.0102,                  5e-05,                  2e-05,                 2.9778,                 15.026,                 4.0377,             0.00075871,             0.00075871,             0.00075871
                      7,                  3.532,                 6.5016,                 3.9481,                  9e-05,                0.03061,                  9e-05,                  4e-05,                 3.3239,                 14.361,                 4.0342,             0.00079177,             0.00079177,             0.00079177
                      8,                 3.4117,                 6.6505,                 3.9076,                  9e-05,                0.03061,                0.00021,                  7e-05,                 3.4165,                   14.1,                  4.059,             0.00078489,             0.00078489,             0.00078489
                      9,                 3.4257,                 6.8462,                 3.8325,                0.00014,                0.03061,                0.00018,                  9e-05,                 3.1807,                 12.642,                  4.009,             0.00077802,             0.00077802,             0.00077802
                     10,                 3.3824,                 6.4791,                 3.8231,                0.00016,                0.03061,                0.00014,                  7e-05,                 3.1174,                 12.296,                 3.9284,             0.00077115,             0.00077115,             0.00077115
