                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7003,                 8.6606,                 4.2353,                  9e-05,                0.03061,                  8e-05,                  5e-05,                 3.2144,                 16.736,                 4.1572,             0.00012495,             0.00012495,             0.00012495
                      2,                 3.4358,                 7.3377,                 4.1876,                  9e-05,                0.03061,                0.01081,                0.00218,                 3.2054,                 16.786,                 4.1479,             0.00025567,             0.00025567,             0.00025567
                      3,                 3.7328,                 8.0551,                 4.1825,                  9e-05,                0.03061,                0.00031,                  6e-05,                  3.262,                 16.309,                 4.1269,             0.00038376,             0.00038376,             0.00038376
                      4,                 3.5068,                 7.1409,                 4.1414,                  9e-05,                0.03061,                0.00088,                0.00019,                 3.2947,                 16.283,                 4.0269,              0.0005092,              0.0005092,              0.0005092
                      5,                 3.4845,                 6.9095,                  4.052,                  9e-05,                0.03061,                0.00056,                  8e-05,                 3.1317,                 14.177,                 3.9075,             0.00063201,             0.00063201,             0.00063201
                      6,                 3.4367,                 7.0787,                 4.0503,                  9e-05,                 0.0102,                0.00014,                  3e-05,                  3.046,                  14.17,                 3.9433,             0.00075218,             0.00075218,             0.00075218
                      7,                 3.5757,                 6.5695,                 4.0004,                0.00014,                0.03061,                  9e-05,                  4e-05,                 3.2525,                 13.813,                  4.026,             0.00078352,             0.00078352,             0.00078352
                      8,                 3.4227,                 6.6628,                 3.9177,                 0.0001,                 0.0102,                  6e-05,                  2e-05,                  3.266,                 12.217,                 3.9542,             0.00077527,             0.00077527,             0.00077527
                      9,                 3.3747,                 6.9321,                 3.8266,                0.00011,                0.03061,                 0.0006,                0.00011,                 3.1539,                 12.132,                 3.9134,             0.00076703,             0.00076703,             0.00076703
                     10,                 3.4013,                 6.3858,                  3.838,                0.87402,                0.14286,                0.04662,                0.01244,                 3.0019,                 11.866,                 3.7069,             0.00075878,             0.00075878,             0.00075878
                     11,                 3.6117,                 6.5939,                 3.7938,                0.89203,                 0.0694,                0.04851,                0.01398,                 3.1247,                  12.18,                 3.7553,             0.00075053,             0.00075053,             0.00075053
                     12,                 3.3548,                 6.3931,                 3.6983,                0.00021,                0.03061,                0.00164,                0.00035,                 2.9886,                 13.681,                 3.9475,             0.00074229,             0.00074229,             0.00074229
                     13,                 3.1344,                 5.9775,                 3.5446,                0.87814,                0.14286,                0.03208,                 0.0109,                 3.1527,                 15.597,                 3.6525,             0.00073404,             0.00073404,             0.00073404
                     14,                  3.256,                 6.1503,                 3.5066,                0.93071,                0.07643,                0.11262,                 0.0499,                 3.0196,                 16.333,                 3.6706,             0.00072579,             0.00072579,             0.00072579
                     15,                 3.0757,                 6.2552,                 3.3779,                0.00231,                0.20204,                0.14276,                0.05877,                 2.9714,                 14.767,                 3.6183,             0.00071755,             0.00071755,             0.00071755
                     16,                 3.1593,                 5.9083,                 3.4543,                 0.9775,                0.12818,                0.13212,                0.04082,                 2.9262,                 13.409,                 3.4769,              0.0007093,              0.0007093,              0.0007093
                     17,                 3.0785,                 5.6928,                 3.3921,                0.64572,                0.10381,                0.11298,                0.03976,                 2.8927,                 12.012,                 3.5614,             0.00070105,             0.00070105,             0.00070105
                     18,                 3.1447,                 5.7066,                 3.3919,                 0.5507,                0.11905,                 0.1332,                0.03845,                 2.7648,                 9.1946,                 3.5906,             0.00069281,             0.00069281,             0.00069281
                     19,                 2.9757,                 5.5951,                 3.3434,                0.48598,                0.11905,                0.05885,                0.00907,                 2.9593,                 9.2524,                 3.5682,             0.00068456,             0.00068456,             0.00068456
                     20,                 2.9328,                 5.3163,                 3.2755,                0.37578,                0.11905,                0.11927,                0.04531,                 2.8703,                 33.749,                 3.3941,             0.00067631,             0.00067631,             0.00067631
                     21,                 2.9363,                 5.0807,                 3.3077,                0.99067,                0.11905,                0.14355,                0.05316,                 2.7276,                 12.823,                 3.3535,             0.00066807,             0.00066807,             0.00066807
                     22,                 2.9864,                 5.1954,                 3.2652,                0.97345,                0.10535,                0.18542,                0.06061,                 2.8017,                 15.676,                 3.3429,             0.00065982,             0.00065982,             0.00065982
                     23,                 3.0334,                 5.2581,                 3.1201,                0.78435,                0.11905,                0.09537,                0.04285,                 3.1779,                 19.176,                 3.4033,             0.00065157,             0.00065157,             0.00065157
                     24,                 2.8718,                 5.0264,                 3.1992,                 0.7955,                0.11905,                0.09483,                0.05223,                 3.3198,                 34.789,                  3.803,             0.00064333,             0.00064333,             0.00064333
                     25,                 2.8872,                 4.9835,                 3.1497,                0.85718,                0.11469,                0.11995,                0.02733,                 3.0745,                 59.279,                 3.6035,             0.00063508,             0.00063508,             0.00063508
                     26,                 3.0419,                 5.3077,                 3.2209,                0.01765,                0.35306,                0.12849,                0.06855,                 2.7537,                 32.801,                 3.1027,             0.00062683,             0.00062683,             0.00062683
                     27,                 2.9071,                 4.8844,                 3.0651,                0.68439,                0.11905,                0.32168,                0.13281,                 2.4786,                 8.1221,                 3.0175,             0.00061859,             0.00061859,             0.00061859
