                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.7661,                 4.1882,                 2.9625,                0.55516,                    0.2,                0.16959,                 0.0569,                 2.6263,                 8.5322,                 3.0154,             0.00065157,             0.00065157,             0.00065157
                     35,                 2.7366,                 4.0447,                  2.971,                0.40816,                0.17619,                0.15048,                0.04039,                 2.6574,                 7.9501,                 3.0543,             0.00064607,             0.00064607,             0.00064607
                     36,                 2.6917,                 4.0748,                 2.8976,                0.58072,                0.17619,                0.21444,                0.04456,                 2.6166,                 10.691,                 2.9501,             0.00064058,             0.00064058,             0.00064058
                     37,                 2.6895,                 4.1284,                 2.9493,                0.45583,                0.31905,                0.34878,                0.11444,                 2.6833,                 7.0938,                  2.831,             0.00063508,             0.00063508,             0.00063508
                     38,                 2.7435,                 4.1299,                 2.9151,                0.65739,                0.11905,                0.12887,                0.03891,                  2.907,                 7.8829,                 2.8405,             0.00062958,             0.00062958,             0.00062958
                     39,                 2.8291,                 4.1221,                 2.8991,                0.58472,                    0.2,                0.31721,                0.13612,                 2.4816,                 5.9219,                  2.813,             0.00062408,             0.00062408,             0.00062408
                     40,                  2.724,                 3.7881,                  2.879,                0.57664,                 0.2102,                0.42203,                0.17604,                 2.6316,                 6.1826,                 2.8085,             0.00061859,             0.00061859,             0.00061859
                     41,                 2.8176,                 3.8728,                 2.8775,                0.69353,                    0.2,                0.20102,                0.07575,                 2.3993,                 11.449,                 2.9509,             0.00061309,             0.00061309,             0.00061309
                     42,                 2.8075,                 3.8091,                 2.8792,                0.57772,                0.17143,                0.17456,                0.07295,                 2.2735,                 10.646,                 2.9601,             0.00060759,             0.00060759,             0.00060759
                     43,                 2.9702,                  3.771,                 2.8341,                0.50807,                0.31905,                0.36389,                0.10861,                 2.9642,                 4.4823,                 2.3737,             0.00060209,             0.00060209,             0.00060209
                     44,                 2.8046,                 3.6411,                 2.6832,                0.63065,                0.09702,                0.05859,                 0.0137,                 2.5221,                 20.187,                  2.811,             0.00059659,             0.00059659,             0.00059659
                     45,                 2.8262,                 3.5402,                 2.5804,                0.85246,                0.11905,                0.22841,                0.05822,                   2.95,                 6.8441,                 2.5043,              0.0005911,              0.0005911,              0.0005911
                     46,                 2.8179,                 3.4537,                 2.5265,                0.85132,                0.11905,                0.12085,                0.01977,                 2.9196,                 5.8473,                 2.6914,              0.0005856,              0.0005856,              0.0005856
                     47,                 2.7966,                 3.4146,                 2.6681,                0.53836,                 0.1896,                0.32698,                0.09697,                 2.8263,                 3.6116,                 2.1986,              0.0005801,              0.0005801,              0.0005801
                     48,                 2.8848,                  3.245,                 2.4815,                0.74646,                0.17034,                0.33911,                0.12541,                 2.8526,                 4.0122,                 2.1852,              0.0005746,              0.0005746,              0.0005746
                     49,                 2.8998,                 3.2069,                 2.4596,                0.85108,                0.14415,                0.14996,                0.03627,                 2.8418,                 5.2622,                 2.4103,             0.00056911,             0.00056911,             0.00056911
                     50,                 2.8495,                  3.092,                 2.4461,                0.85714,                0.14017,                0.14749,                0.04503,                 2.6865,                 6.7665,                 2.4972,             0.00056361,             0.00056361,             0.00056361
                     51,                 2.6976,                 2.9614,                 2.4301,                 0.3589,                 0.2819,                 0.4452,                0.15462,                 2.7322,                 2.9756,                 2.1028,             0.00055811,             0.00055811,             0.00055811
                     52,                 2.7476,                 3.0859,                  2.489,                0.43893,                0.25132,                0.33176,                0.14356,                 2.8461,                 4.2902,                 2.1772,             0.00055261,             0.00055261,             0.00055261
                     53,                 2.8507,                 3.0041,                 2.2688,                0.85312,                0.11905,                0.14308,                0.03068,                 2.9344,                 6.8338,                 2.4219,             0.00054711,             0.00054711,             0.00054711
                     54,                 2.8378,                 3.0063,                 2.3984,                0.54541,                0.10544,                0.09397,                0.02558,                 2.9035,                  8.579,                 2.6934,             0.00054162,             0.00054162,             0.00054162
                     55,                 2.9017,                 2.8948,                 2.2896,                0.53065,                0.16973,                0.19146,                0.06499,                 2.8349,                  3.426,                 2.2471,             0.00053612,             0.00053612,             0.00053612
                     56,                 2.8822,                  2.853,                 2.2788,                0.37825,                0.21265,                0.22906,                0.07643,                 2.8566,                 5.4097,                 2.1634,             0.00053062,             0.00053062,             0.00053062
                     57,                 2.7119,                 2.7941,                 2.2956,                0.36992,                0.52391,                0.45495,                0.17505,                 2.7922,                 2.6523,                 2.1005,             0.00052512,             0.00052512,             0.00052512
                     58,                 2.6836,                 2.7804,                 2.2325,                0.45297,                0.38222,                0.47762,                0.16694,                 2.7659,                 3.0916,                 2.0929,             0.00051963,             0.00051963,             0.00051963
                     59,                 2.7593,                 2.7033,                 2.1854,                0.85377,                0.11905,                0.13276,                0.06064,                 3.0684,                  23.67,                 2.5926,             0.00051413,             0.00051413,             0.00051413
                     60,                  2.651,                 2.6285,                  2.219,                0.85335,                0.11905,                0.13261,                0.06573,                 2.6195,                 29.418,                 2.9092,             0.00050863,             0.00050863,             0.00050863
                     61,                 2.5919,                 2.5719,                 2.2425,                0.59783,                0.33513,                0.37781,                0.11687,                 2.7006,                 4.6562,                 2.0915,             0.00050313,             0.00050313,             0.00050313
                     62,                 2.6826,                 2.6253,                 2.1844,                0.19565,                0.36936,                0.37295,                0.14178,                 2.7143,                 2.7819,                 2.0284,             0.00049763,             0.00049763,             0.00049763
                     63,                 2.6781,                 2.5537,                 2.1512,                0.65601,                0.42716,                0.63736,                0.29513,                 2.6323,                 3.0234,                 1.9631,             0.00049214,             0.00049214,             0.00049214
                     64,                 2.6734,                 2.7658,                 2.2807,                0.69354,                0.22623,                0.48998,                0.19235,                 2.6462,                 2.8467,                 2.0053,             0.00048664,             0.00048664,             0.00048664
                     65,                 2.7146,                 2.6175,                 2.1425,                0.45956,                0.19249,                0.23128,                0.09126,                 2.8022,                 4.1078,                 2.1182,             0.00048114,             0.00048114,             0.00048114
                     66,                 2.5917,                  2.543,                 2.1251,                0.37548,                0.45381,                0.45788,                0.18234,                 2.6696,                 2.9346,                 2.0352,             0.00047564,             0.00047564,             0.00047564
                     67,                 2.6143,                 2.6072,                 2.0937,                0.60567,                0.41302,                0.51472,                 0.2257,                 2.7216,                  2.756,                  1.982,             0.00047015,             0.00047015,             0.00047015
                     68,                  2.602,                 2.5437,                 2.1443,                0.67564,                0.17891,                0.21151,                0.06385,                 2.7285,                 3.3289,                  2.102,             0.00046465,             0.00046465,             0.00046465
                     69,                 2.6956,                 2.5572,                 2.1775,                0.85286,                0.11905,                0.19536,                0.06449,                 2.7768,                 4.9341,                 2.1127,             0.00045915,             0.00045915,             0.00045915
                     70,                 2.5706,                 2.3462,                  2.054,                0.71779,                0.48709,                0.69377,                0.26401,                 2.5751,                 2.2844,                 1.9422,             0.00045365,             0.00045365,             0.00045365
                     71,                 2.5554,                 2.5861,                 2.1711,                0.70009,                0.18639,                0.21098,                 0.0813,                 2.8738,                 9.6945,                 2.3712,             0.00044815,             0.00044815,             0.00044815
                     72,                 2.5583,                  2.551,                 2.1207,                 0.7088,                0.38268,                0.56991,                0.25991,                 2.6345,                 3.5352,                 1.9831,             0.00044266,             0.00044266,             0.00044266
                     73,                 2.5977,                 2.4981,                 2.1136,                0.57118,                0.49569,                0.62115,                0.22025,                 2.6577,                  2.558,                  2.002,             0.00043716,             0.00043716,             0.00043716
                     74,                 2.5351,                 2.3805,                 2.0618,                0.57497,                 0.5145,                0.61021,                0.22438,                 2.6493,                  5.672,                  1.935,             0.00043166,             0.00043166,             0.00043166
                     75,                 2.6177,                 2.6482,                 2.1813,                0.61479,                0.21554,                0.34435,                0.10986,                 2.7692,                 8.2792,                 2.1328,             0.00042616,             0.00042616,             0.00042616
                     76,                 2.4846,                 2.4765,                 2.1942,                0.69878,                0.52384,                0.71466,                0.31406,                 2.5868,                 2.3262,                 1.9171,             0.00042066,             0.00042066,             0.00042066
                     77,                 2.4529,                 2.3957,                 2.0802,                0.74633,                0.46644,                0.67158,                0.33115,                 2.6361,                 2.2974,                 1.9303,             0.00041517,             0.00041517,             0.00041517
                     78,                 2.4545,                  2.319,                 1.9854,                0.68484,                 0.4392,                 0.6302,                0.27591,                 2.5697,                 2.4286,                 1.9715,             0.00040967,             0.00040967,             0.00040967
                     79,                 2.4825,                 2.3108,                 2.1269,                0.70796,                0.44896,                0.68138,                 0.3308,                 2.5047,                 2.1587,                 1.9317,             0.00040417,             0.00040417,             0.00040417
                     80,                 2.5671,                 2.2983,                 2.1311,                 0.7333,                0.18123,                0.47683,                0.17429,                 2.6537,                 2.8459,                 2.0121,             0.00039867,             0.00039867,             0.00039867
                     81,                 2.4944,                 2.4254,                 2.1233,                 0.6355,                0.54789,                0.67938,                0.29686,                 2.5133,                 2.0967,                 1.9391,             0.00039318,             0.00039318,             0.00039318
                     82,                 2.5644,                 2.4345,                 2.1456,                0.57129,                0.50429,                0.65416,                0.30723,                 2.5016,                 2.3247,                 1.9105,             0.00038768,             0.00038768,             0.00038768
                     83,                  2.467,                 2.2658,                 2.0226,                0.68117,                0.42854,                0.64967,                0.31158,                 2.5454,                 2.2878,                 1.8831,             0.00038218,             0.00038218,             0.00038218
                     84,                 2.4258,                 2.2725,                 2.0159,                0.56967,                0.29436,                0.45772,                0.18178,                 2.6923,                 2.8597,                  2.001,             0.00037668,             0.00037668,             0.00037668
